name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
SortArrayGivenSwap-mustmut,0.028767,"arr.sort((a, b)=>a - b)",,1,tasks/benchmarks/fromSobeq/must/stateCopies/SortArrayGivenSwap-mustmut.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/SortArrayGivenSwap.java,Primitive Objects,With Side Effects,879,30.887936 MB,18,12,2,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 448596}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 27839031}, 'statistics': {'Evaluated': 13, 'BankSize': 7, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]","['arr.sort((a, b)=>a - b)']",3,1
inc_tree_values_connected_min_ops,0.030681,"tree3.inc_value(), tree2.inc_value(), tree1.inc_value()",,3,tasks/benchmarks/new_ruse/relations/inc_tree_values_connected_min_ops.sy,,Full OOP,With Side Effects,9,35.401728 MB,31,16,7,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 4049272}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 22118035}, 'statistics': {'Evaluated': 20, 'BankSize': 6, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 3673196}, 'statistics': {'Evaluated': 11, 'BankSize': 10, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree1.inc_value(); tree2.inc_value(); tree3.inc_value()'],1,3
inc_tree_values_min_ops,0.031717,"tree2.inc_value(), tree3.inc_value(), tree1.inc_value()",,3,tasks/benchmarks/new_ruse/relations/inc_tree_values_min_ops.sy,,Full OOP,With Side Effects,9,35.586048 MB,29,16,8,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 4109648}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 21619580}, 'statistics': {'Evaluated': 18, 'BankSize': 6, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 5625920}, 'statistics': {'Evaluated': 11, 'BankSize': 10, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree1.inc_value(); tree2.inc_value(); tree3.inc_value()'],1,3
getElementById,0.037043,"document.getElementById(""students"")",,0,tasks/benchmarks/new_ruse/simple/getElementById.sy,,Primitive Objects,Without Side Effects,880,27.799552 MB,137,26,2,0,2,3,"[' ', 'students', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 560192}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 36099148}, 'statistics': {'Evaluated': 131, 'BankSize': 20, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 3}}]","['document.getElementById(""students"")']",1,1
ab,0.038394,a + b,,0,tasks/benchmarks/fromFrangel/other/ab.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/other/AB.java,Primitive,Without Side Effects,880,29.331456 MB,164,40,4,1,2,4,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 446604}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 37664667}, 'statistics': {'Evaluated': 158, 'BankSize': 34, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}]",['a + b'],1,2
strip-html-from-text-or-numbersmodified,0.040818,"_arg_0.replaceAll(""<b>"", """")",,0,tasks/benchmarks/fromSobeq/may/probe/strip-html-from-text-or-numbersmodified.sy,https=//exceljet.net/formula/strip-html-from-text-or-numbers,Primitive,Without Side Effects,880,30.326784 MB,426,49,2,1,2,4,"[' ', '<b>', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 447929}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 39910177}, 'statistics': {'Evaluated': 420, 'BankSize': 43, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}]","[""_arg_0.replaceAll('<b>', '')""]",3,1
binary_search_tree_height,0.040829,tree.height,,0,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_height.sy,,Full OOP,Without Side Effects,1181,35.811328 MB,16,10,2,0,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1666884}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 38925317}, 'statistics': {'Evaluated': 11, 'BankSize': 5, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree.height'],2,1
AddArrayToListOrNull,0.041839,arr.concat(list),,0,tasks/benchmarks/fromSobeq/may/LooPy/AddArrayToListOrNull.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/AddArrayToListOrNull.java,Primitive Objects,Without Side Effects,880,28.872704 MB,153,42,4,1,2,3,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 499036}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 41046719}, 'statistics': {'Evaluated': 147, 'BankSize': 36, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 3}}]",['arr.concat(list)'],3,2
SortArrayGivenSwap,0.042341,"arr.sort((a, b)=>a - b)",,1,tasks/benchmarks/fromSobeq/may/FrAngel/SortArrayGivenSwap.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/SortArrayGivenSwap.java,Primitive Objects,Possibly With Side Effects,879,28.659712 MB,18,12,2,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 543724}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 41556040}, 'statistics': {'Evaluated': 13, 'BankSize': 7, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]","['arr.sort((a, b)=>a - b)', 'arr.slice(0).sort((a, b)=>a - b)']",3,1
count-total-words-in-a-cellmodified,0.04298,"_arg_0.split("" "").length",,0,tasks/benchmarks/fromSobeq/may/probe/count-total-words-in-a-cellmodified.sy,https=//exceljet.net/formula/count-total-words-in-a-cell,Primitive,Without Side Effects,879,30.33088 MB,775,123,4,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 356106}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 40379910}, 'statistics': {'Evaluated': 315, 'BankSize': 31, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 2043236}, 'statistics': {'Evaluated': 460, 'BankSize': 92, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.split(' ').length""]",3,1
