name,time (ms),ast size (raw),ast size (postprocessed),correct,store type,store size,subsumed by discarding,pruned by OE,solution,ismut
"mutating/Frangel/IsAllPositive.sy",904,14,14,incorrect,Subsume,37652,169,102100,"[1].join('') === arr.join(' ').slice(arr.length,arr.push(0))",t
"mutating/Frangel/IsIncreasing.sy",968,8,8,correct,Subsume,43046,167,112899,"arr.join('') === arr.sort((n1,n2) => n1 - n2).join('')",t
"mutating/leetcode/leetcode-adddominos.sy",3600000,,,timeout,Subsume,26579467,539429,1304179078,"Timeout", 
"mutating/leetcode/leetcode-arraypermutations-mut.sy",4263,7,7,incorrect,Subsume,295464,8117,393150,"(ans.push(nums[n]), ans)",t
"mutating/leetcode/leetcode-arraysum.sy",3600000,,,timeout,Subsume,74618057,4827386,569825606,"Timeout", 
"mutating/leetcode/leetcode-setdelete.sy",94,5,5,correct,Subsume,5597,928,18262,"s2.delete(nums[i])",t
"mutating/new/ArrayCounter.sy",1234,6,6,correct,Subsume,61490,2171,165014,"(count[index]++, count)",t
"mutating/new/ArraySwap.sy",620390,8,8,correct,Subsume,9362647,85021,149931883,"arr.push(arr.splice(i,1)[0])",t
"mutating/new/MaxAndMin.sy",631,7,7,incorrect,Subsume,35568,126,81911,"arr.sort((n1,n2) => n1 - n2)[0] + arr.pop()",t
"mutating/new/MaxAndMinWithN.sy",4925,10,10,incorrect,Subsume,204771,10607,546371,"arr.sort((n1,n2) => n1 - n2)[n - 1] + arr[0]",t
"mutating/new/MoveFromAToB.sy",47,4,4,na,Subsume,2213,210,6415,"b.push(a.pop())",t
"mutating/new/buffer-add.sy",955,13,8,incorrect,Subsume,31397,14061,294362,"arr.splice(beg, 1, toadd), beg++, beg",t
"mutating/new/frangel-nocomps/MaxDouble.sy",42,3,3,correct,Subsume,1992,41,4497,"list.sort((n1,n2) => n1 - n2).pop()",t
"mutating/new/frangel-nocomps/SortArrayGivenSwap.sy",2,2,2,correct,Subsume,33,1,89,"arr.sort((n1,n2) => n1 - n2)",t
"mutating/new/loopy/fill_fibonacci_loopy_window.sy",17300,8,8,correct,Subsume,710910,1010,4401149,"out.push(out[1] + out.shift())",t
"mutating/new/loopy/get_range_loopy_for.sy",364,5,5,correct,Subsume,5472,2600,105070,"out.push(start + i)",t
"mutating/new/loopy/get_range_loopy_while.sy",4681,10,9,incorrect,Subsume,236850,18482,614722,"out.push(start + i), i++, i",t
"mutating/new/loopy/rotate_queue.sy",76,4,4,correct,Subsume,4007,187,13658,"inp.push(inp.shift())",t
"mutating/new/partition-k-largest.sy",90,5,5,na,Subsume,5864,393,16024,"nums.sort((n1,n2) => n1 - n2).splice(-k)",t
