name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
inc_tree_values_min_ops,0.024828,"tree1.inc_value(), tree3.inc_value(), tree2.inc_value()",,3,tasks/benchmarks/new_ruse/relations/inc_tree_values_min_ops.sy,,Full OOP,With Side Effects,9,34.820096 MB,29,16,8,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 3350797}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 16334989}, 'statistics': {'Evaluated': 18, 'BankSize': 6, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 4787297}, 'statistics': {'Evaluated': 11, 'BankSize': 10, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree1.inc_value(); tree2.inc_value(); tree3.inc_value()'],1,3
ab,0.038319,a + b,,0,tasks/benchmarks/fromFrangel/other/ab.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/other/AB.java,Primitive,Without Side Effects,880,28.676096 MB,100,25,4,1,2,3,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 550502}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 37249136}, 'statistics': {'Evaluated': 94, 'BankSize': 19, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 3}}]",['a + b'],1,2
SortArrayGivenSwap-mustmut,0.044306,"arr.sort((a, b)=>a - b)",,1,tasks/benchmarks/fromSobeq/must/stateCopies/SortArrayGivenSwap-mustmut.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/SortArrayGivenSwap.java,Primitive Objects,With Side Effects,879,29.097984 MB,18,12,2,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 530023}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 43418032}, 'statistics': {'Evaluated': 13, 'BankSize': 7, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]","['arr.sort((a, b)=>a - b)']",3,1
strip-html-from-text-or-numbersmodified,0.045468,"_arg_0.replaceAll(""<b>"", """")",,0,tasks/benchmarks/fromSobeq/may/probe/strip-html-from-text-or-numbersmodified.sy,https=//exceljet.net/formula/strip-html-from-text-or-numbers,Primitive,Without Side Effects,880,28.028928 MB,426,50,2,1,2,4,"[' ', '<b>', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 552565}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 44464072}, 'statistics': {'Evaluated': 420, 'BankSize': 44, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}]","[""_arg_0.replaceAll('<b>', '')""]",3,1
SortArrayGivenSwap,0.049409,"arr.sort((a, b)=>a - b)",,1,tasks/benchmarks/fromSobeq/may/FrAngel/SortArrayGivenSwap.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/SortArrayGivenSwap.java,Primitive Objects,Possibly With Side Effects,879,29.093888 MB,18,12,2,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 575503}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 48363686}, 'statistics': {'Evaluated': 13, 'BankSize': 7, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]","['arr.sort((a, b)=>a - b)', 'arr.slice(0).sort((a, b)=>a - b)']",3,1
getElementById,0.050195,"document.getElementById(""students"")",,0,tasks/benchmarks/new_ruse/simple/getElementById.sy,,Primitive Objects,Without Side Effects,880,28.864512 MB,138,26,2,0,2,3,"[' ', 'students', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 534114}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 49209105}, 'statistics': {'Evaluated': 132, 'BankSize': 20, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 3}}]","['document.getElementById(""students"")']",1,1
AddArrayToListOrNull,0.051527,arr.concat(list),,0,tasks/benchmarks/fromSobeq/may/LooPy/AddArrayToListOrNull.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/AddArrayToListOrNull.java,Primitive Objects,Without Side Effects,880,29.032448 MB,153,42,4,1,2,3,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 661398}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 50416484}, 'statistics': {'Evaluated': 147, 'BankSize': 36, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 3}}]",['arr.concat(list)'],3,2
x_y_mut_inc,0.052809,(++x) + (++y),,2,tasks/benchmarks/new_ruse/simple/x_y_mut_inc.sy,,Primitive,With Side Effects,880,28.545024 MB,2394,634,16,2,3,7,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 498396}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 48797317}, 'statistics': {'Evaluated': 562, 'BankSize': 56, 'FoundContextCount': 12, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3132933}, 'statistics': {'Evaluated': 1832, 'BankSize': 578, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 7}}]","['(++x) + (++y)', '(++y) + (++x)']",2,2
count-total-words-in-a-cellmodified,0.053343,"_arg_0.split("" "").length",,0,tasks/benchmarks/fromSobeq/may/probe/count-total-words-in-a-cellmodified.sy,https=//exceljet.net/formula/count-total-words-in-a-cell,Primitive,Without Side Effects,879,28.028928 MB,1290,215,4,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 563422}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 48798369}, 'statistics': {'Evaluated': 315, 'BankSize': 33, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3550878}, 'statistics': {'Evaluated': 975, 'BankSize': 182, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.split(' ').length""]",3,1
binary_search_tree_valid,0.053882,tree.valid(),,0,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_valid.sy,,Full OOP,Without Side Effects,1181,34.197504 MB,22,14,2,0,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 546239}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53037756}, 'statistics': {'Evaluated': 17, 'BankSize': 9, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree.valid()'],2,1
